id,country,designation,points,price,province,region,taster_name,taster_twitter_handle,variety,winery
3100,US,Purisima Mountain Vineyard,88,35,California,Santa Ynez Valley,,,Syrah,Qupé
3101,US,California Monte Bello,88,145,California,Santa Cruz Mountains,,,Bordeaux-style Red Blend,Ridge
3102,Chile,Catalina,88,40,Peumo,,Michael Schachner,@wineschach,Red Blend,Santa Ema
3103,Chile,20 Barrels,88,24,Casablanca Valley,,,,Pinot Noir,Cono Sur
3104,Chile,Visión,88,13,Colchagua Valley,,,,Viognier,Cono Sur
3105,Italy,,88,,Veneto,Amarone della Valpolicella Classico,,,"Corvina, Rondinella, Molinara",Corte San Benedetto
3106,Italy,Verjago,88,,Veneto,Valpolicella Classico Superiore,,,"Corvina, Rondinella, Molinara",Domìni Veneti
3107,France,Cuvée Prestige Brut,88,30,Alsace,Crémant d'Alsace,Roger Voss,@vossroger,Sparkling Blend,Dopff & Irion
3108,Italy,,88,,Veneto,Amarone della Valpolicella,,,"Corvina, Rondinella, Molinara",Falezza
3109,France,Pinot Gris Bonheur Convivial,88,,Alsace,Alsace,Roger Voss,@vossroger,Pinot Gris,Rieflé
3110,Chile,Microterroir de los Lingues,88,49,Colchagua Valley,,Michael Schachner,@wineschach,Carmenère,Casa Silva
3111,France,Le Grand Rossignol du Château Lamothe Vincent,84,25,Bordeaux,Bordeaux Supérieur,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Lamothe-Vincent
3112,France,,84,15,Bordeaux,Bordeaux,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Pey la Tour
3113,US,Red Cedar Vineyard Estate,84,35,California,Paso Robles,,,Syrah-Petite Sirah,Clayhouse
3114,US,The Tiller Caliza Vineyard Russell Family Vineyards,84,52,California,Paso Robles,,,Grenache-Syrah,Dilecta
3115,US,Lot 10,84,11,California,California,,,Cabernet Sauvignon,Grayson
3116,US,,84,32,California,Napa Valley,,,Pinot Noir,Vinemark
3117,US,Estate Reserve,84,38,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Wetzel Estate
3118,US,,84,13,California,Central Coast,,,Cabernet Sauvignon,Magnolia Court
3119,US,,84,18,California,Russian River Valley,,,Pinot Noir,Picket Fence
3120,Argentina,,84,22,Mendoza Province,Uco Valley,Michael Schachner,@wineschach,Malbec,Recuerdo
3121,Italy,,84,18,Central Italy,Montefalco Rosso,Kerin O’Keefe,@kerinokeefe,Red Blend,Adanti
3122,France,Réserve du Propriétaire,84,13,Bordeaux,Bordeaux Supérieur,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Haut Nadeau
3123,US,,84,10,California,Lodi,Virginie Boone,@vboone,Chardonnay,un4seen
3124,US,,84,28,California,Paso Robles,,,Touriga Nacional,Vinemark
3125,US,Estate,84,15,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Blanc,Wetzel Estate
3126,US,,84,35,Oregon,Rogue Valley,Sean P. Sullivan,@wawinereport,Claret,Del Rio
3127,US,,84,12,California,California,,,Pinot Noir,Grayson
3128,US,,84,10,California,California,,,Chardonnay,Guenoc
3129,US,,83,32,California,Paso Robles,,,Primitivo,Vinemark
3130,US,,83,8,California,California,,,Zinfandel,Woodbridge by Robert Mondavi
3131,,Partager,83,,,,Roger Voss,@vossroger,Red Blend,Barton & Guestier
3132,Spain,Viña Tobía,83,11,Northern Spain,Rioja,Michael Schachner,@wineschach,White Blend,Bodegas Tobía
3133,France,Grand Théatre,83,,Bordeaux,Bordeaux Blanc,Roger Voss,@vossroger,Bordeaux-style White Blend,Univitis
3134,France,,83,,Bordeaux,Bordeaux Supérieur,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Gréteau Médeville
3135,Australia,,89,17,Western Australia,Margaret River,Joe Czerwinski,@JoeCz,Shiraz,Wildberry Estate
3136,Argentina,Reserve,89,20,Mendoza Province,Uco Valley,Michael Schachner,@wineschach,Malbec,Salentein
3137,Austria,Steirische Klassik,89,25,Südsteiermark,,Roger Voss,@vossroger,Sauvignon Blanc,Sattlerhof
3138,Austria,Brut,89,25,Kamptal,,Roger Voss,@vossroger,Grüner Veltliner,Steininger
3139,Austria,Steinhaus,89,18,Kamptal,,Roger Voss,@vossroger,Grüner Veltliner,Summerer
3140,US,Ferguson Block,89,44,California,Carneros,,,Pinot Noir,Robert Stemmler
3141,US,,89,28,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Syrah,Tamarack Cellars
3142,US,,89,30,California,Livermore Valley,,,Meritage,Murrieta's Well
3143,US,Switchback Red,89,25,Washington,Washington,Paul Gregutt,@paulgwine ,Red Blend,Coeur d'Alene
3144,France,Les Marconnets Premier Cru,89,41,Burgundy,Beaune,Roger Voss,@vossroger,Pinot Noir,Bouchard Aîné & Fils
3145,US,,89,30,Washington,Walla Walla Valley (WA),Paul Gregutt,@paulgwine ,Syrah,Whitman Cellars
3146,Austria,Aussere Bergen,89,23,Niederösterreich,,Roger Voss,@vossroger,Grüner Veltliner,Zull
3147,US,,89,22,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Merlot,Helix by Reininger
3148,Argentina,,89,12,Other,Salta,Michael Schachner,@wineschach,Torrontés,Tomero
3149,Argentina,Golden Reserve,89,20,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Trivento
3150,US,Ferrington Vineyard,89,22,California,Anderson Valley,,,Sauvignon Blanc,Breggo
3151,Austria,Pinot Noir Cécile,89,60,Kamptal,,Roger Voss,@vossroger,Pinot Noir,Bründlmayer
3152,US,Heritage Reserve,89,50,California,Sonoma Valley,,,Cabernet Sauvignon,Schug
3153,US,Alice Vineyard,89,30,Washington,Wahluke Slope,Paul Gregutt,@paulgwine ,Malbec,Tagaris
3154,Spain,Celeste Crianza,89,22,Northern Spain,Ribera del Duero,Michael Schachner,@wineschach,Tempranillo,Torres
3155,US,Coastal Estates,86,11,California,California,,,Chardonnay,Beaulieu Vineyard
3156,New Zealand,,86,12,Marlborough,,Joe Czerwinski,@JoeCz,Pinot Noir,Stoneburn
3157,Argentina,Reserve,86,11,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Trivento
3158,Argentina,,86,17,Other,Alto Valle del Río Negro,Michael Schachner,@wineschach,Malbec,Verum
3159,Argentina,Morena,86,30,Mendoza Province,Luján de Cuyo,Michael Schachner,@wineschach,Cabernet Blend,Viña Alicia
3160,France,Cuvée Particulière,86,,Alsace,Alsace,Roger Voss,@vossroger,Muscat,Bott Frères
3161,Italy,Col Fondo,86,18,Veneto,Prosecco,,,Glera,Ca' dei Zago
3162,Italy,Cuvée Brut,86,16,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Carpenè Malvolti
3163,France,Tradition,86,,Alsace,Alsace,Roger Voss,@vossroger,Pinot Gris,Dopff & Irion
3164,US,Syrah-Merlot-Cabernet Sauvignon,86,85,California,Sonoma-Napa,,,Red Blend,Galaxy
3165,Argentina,Vendimia Especial,86,20,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Gardel
3166,Italy,Prima Volta Millesimato Dry,86,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Giavi
3167,Italy,Mini,86,5,Veneto,Prosecco,,,Glera,Anna Spinato
3168,Italy,Miraval Millesimato Extra Dry,86,19,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Bellenda
3169,Italy,Millesimato Brut,86,15,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Bianca Vigna
3170,Italy,,86,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Canella
3171,Italy,Brut,86,,Veneto,Prosecco,,,Glera,Caposaldo
3172,Italy,Extra Dry,86,16,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,Glera,Carpenè Malvolti
3173,US,Atração,86,20,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Coelho
3174,US,Headwaters,86,42,California,Napa Valley,,,Bordeaux-style Red Blend,Coho
3175,US,,86,14,California,Central Coast,,,Cabernet Sauvignon,Cupcake
3176,France,Vignoble d'Epfig,86,28,Alsace,Alsace,Roger Voss,@vossroger,Riesling,Domaine Ostertag
3177,France,Steinert Grand Cru,86,35,Alsace,Alsace,Roger Voss,@vossroger,Riesling,Domaine Rieflé
3178,US,Ezio,86,40,California,Paicines,,,Bordeaux-style Red Blend,Donati
3179,Argentina,,86,11,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Andeluna
3180,France,Château de Juliénas,90,22,Beaujolais,Juliénas,Roger Voss,@vossroger,Gamay,Georges Duboeuf
3181,France,Château des Capitans,90,20,Beaujolais,Juliénas,Roger Voss,@vossroger,Gamay,Georges Duboeuf
3182,France,Domaine de Javernière Côte du Py,90,20,Beaujolais,Morgon,Roger Voss,@vossroger,Gamay,Georges Duboeuf
3183,France,Domaine des Quatres Vents,90,22,Beaujolais,Fleurie,Roger Voss,@vossroger,Gamay,Georges Duboeuf
3184,US,19 Block Mountain Cuvée,90,38,California,Mount Veeder,Virginie Boone,@vboone,Red Blend,Hess Collection
3185,Italy,,90,45,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Il Borro
3186,US,Russian Cuvée,90,42,California,Green Valley,Virginie Boone,@vboone,Sparkling Blend,Iron Horse
3187,Austria,,90,19,Südsteiermark,,Anne Krebiehl MW,@AnneInVino,Sauvignon Blanc,Lackner Tinnacher
3188,US,Proprietor's Cuvée,90,65,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Bordeaux-style Red Blend,Lauren Ashton Cellars
3189,US,,90,12,California,Paso Robles,Matt Kettmann,@mattkettmann,Rhône-style Red Blend,Now Presenting...
3190,US,Christina's Cuvée,90,38,California,North Coast,Jim Gordon,@gordone_cellars,Pinot Noir,On Point
3191,France,Les Mouilles,90,23,Beaujolais,Juliénas,Roger Voss,@vossroger,Gamay,Pardon et Fils
3192,US,,90,28,New York,North Fork of Long Island,Anna Lee C. Iijima,,Cabernet Franc,Paumanok
3193,France,Amour de Dieu,90,90,Rhône Valley,Condrieu,Joe Czerwinski,@JoeCz,Viognier,Jean-Luc Colombo
3194,US,Thornton Vineyard,90,50,California,Sonoma Coast,Virginie Boone,@vboone,Pinot Noir,Acacia
3195,France,Haut de Brun,90,15,Rhône Valley,Côtes du Rhône,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Alain Jaume et Fils
3196,Italy,,90,,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,San Carlo
3197,US,,90,22,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Sean Minor
3198,Austria,Grand Grü Reserve,90,30,Kamptal,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Steininger
3199,Austria,Ausstich,90,25,Thermenregion,,Anne Krebiehl MW,@AnneInVino,St. Laurent,Stift Klosterneuburg
3200,France,Clos de la Brosse,90,21,Beaujolais,Saint-Amour,Roger Voss,@vossroger,Gamay,Terroirs et Talents
3201,Italy,Redigaffi,90,400,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Merlot,Tua Rita
3202,Austria,Oberfeld Alte Reben Reserve,90,,Kremstal,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Unger
3203,US,,90,20,Washington,Wahluke Slope,Sean P. Sullivan,@wawinereport,Sangiovese,Vino La Monarcha
3204,US,,90,15,Washington,Ancient Lakes,Sean P. Sullivan,@wawinereport,Riesling,Vino La Monarcha
3205,US,,90,15,California,California,Jim Gordon,@gordone_cellars,Red Blend,Whiplash
3206,US,,90,55,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Bell
3207,Italy,,90,60,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,Cerbaia
3208,US,Bacigalupi Vineyard,90,36,California,Russian River Valley,Virginie Boone,@vboone,Chardonnay,Gibbs
3209,US,Sonoma Brut,90,22,California,Sonoma County,Virginie Boone,@vboone,Sparkling Blend,Gloria Ferrer
3210,Spain,Inspiración,88,45,Northern Spain,Rioja,Michael Schachner,@wineschach,Maturana,Bodegas Valdemar
3211,Spain,,88,13,Catalonia,Montsant,Michael Schachner,@wineschach,Red Blend,Bula
3212,US,,88,32,Washington,Walla Walla Valley (WA),Paul Gregutt,@paulgwine ,Syrah,Bunchgrass
3213,Spain,Blau,88,12,Catalonia,Montsant,Michael Schachner,@wineschach,Red Blend,Can Blau
3214,Italy,Sanct Valentin,88,38,Northeastern Italy,Alto Adige,,,Gewürztraminer,Cantina Produttori San Michele Appiano
3215,US,"Monga Zin, Lopez Vineyard",88,21,California,Cucamonga Valley,Virginie Boone,@vboone,Zinfandel,Carol Shelton
3216,Spain,Fauno Organic Grapes,88,40,Catalonia,Priorat,Michael Schachner,@wineschach,Garnacha,Casa Rojo
3217,Italy,Elicius,88,,Central Italy,Umbria,,,Red Blend,Castello di Montegiove
3218,France,,88,60,Bordeaux,Médoc,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château de la Croix
3219,France,Whispering Angel,88,20,Provence,Côtes de Provence,Roger Voss,@vossroger,Rosé,Château d'Esclans
3220,France,Cru de Plouget,88,,Bordeaux,Côtes de Bourg,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Dupeyrat Plouget
3221,US,,88,17,California,Dry Creek Valley,,,Merlot,Chelsea Goldschmidt
3222,US,,88,35,California,Napa Valley,,,Merlot,Peju
3223,US,Eakle Ranch,88,28,California,Napa Valley,,,Cabernet Sauvignon,Pope Valley Winery
3224,Spain,RSV 1601 El Duque de Lerma,88,75,Northern Spain,Ribera del Duero,Michael Schachner,@wineschach,Tempranillo,Real Sitio de Ventosilla
3225,US,,88,35,California,Alexander Valley,,,Cabernet Sauvignon,Stryker Sonoma
3226,Italy,Trabocchetto,88,19,Central Italy,Colline Pescaresi,,,Pecorino,Talamonti
3227,US,Estate,88,27,Oregon,Dundee Hills,Paul Gregutt,@paulgwine ,Chardonnay,The Eyrie Vineyards
3228,US,Touchy-Feely,88,60,California,Paso Robles,,,G-S-M,The Farm Winery
3229,Italy,Thea Riserva,88,21,Central Italy,Sangiovese di Romagna Superiore,,,Sangiovese,Tre Monti
3230,US,Truehart Vineyard,88,35,California,Sonoma Valley,,,Petite Sirah,Trueheart
3231,Spain,,88,17,Galicia,Rías Baixas,Michael Schachner,@wineschach,Albariño,Val do Sosego
3232,US,Nuages,88,35,Oregon,Chehalem Mountains,Paul Gregutt,@paulgwine ,Pinot Noir,J. Christopher
3233,US,Gesture,88,35,California,Paso Robles,,,G-S-M,J. Lohr
3234,Austria,,88,20,Thermenregion,,Roger Voss,@vossroger,Rotgipfler,Johanneshof Reinisch
3235,US,Monastery,88,70,California,Russian River Valley,,,Chardonnay,Lynmar
3236,Chile,EQ,88,,San Antonio,,Michael Schachner,@wineschach,Chardonnay,Matetic
3237,Spain,Treyu,88,16,Northern Spain,Empordà,Michael Schachner,@wineschach,White Blend,Oliver Conti
3238,US,,88,19,California,Napa Valley,,,Merlot,Parcel 41
3239,Italy,Pruno Riserva,88,40,Central Italy,Sangiovese di Romagna Superiore,,,Sangiovese,Drei Donà Tenuta La Palazza
3240,US,,86,15,California,California,Jim Gordon,@gordone_cellars,Cabernet Sauvignon,401K
3241,US,Fumé Blanc Dry,86,9,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Sauvignon Blanc,Barnard Griffin
3242,US,Northridge Vineyard,86,30,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Primitivo,Cana's Feast
3243,Italy,Da Vinci Riserva,86,23,Tuscany,Chianti,Kerin O’Keefe,@kerinokeefe,Red Blend,Cantine Leonardo Da Vinci
3244,US,,86,55,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Hill Family Estate
3245,US,Untamed Cuvée,86,20,Washington,Yakima Valley,Sean P. Sullivan,@wawinereport,Red Blend,James Wyatt
3246,France,Brut,86,56,Champagne,Champagne,Roger Voss,@vossroger,Champagne Blend,Liebart-Régnier
3247,US,White Elephant,86,18,California,California,Matt Kettmann,@mattkettmann,White Blend,Vinum
3248,Italy,Riserva,86,18,Tuscany,Chianti,Kerin O’Keefe,@kerinokeefe,Sangiovese,Viticoltori Senesi Aretini
3249,US,Estate Grown,86,35,California,Placer County,Jim Gordon,@gordone_cellars,Sangiovese,Wise Villa
3250,US,Rosé of,86,22,California,Sonoma Coast,Virginie Boone,@vboone,Pinot Noir,MacPhail
3251,France,Château Lestruelle,86,,Bordeaux,Médoc,Roger Voss,@vossroger,Bordeaux-style Red Blend,Maison Bouey
3252,France,Le Rosé Gourmand de Lestruelle,86,,Bordeaux,Bordeaux Rosé,Roger Voss,@vossroger,Rosé,Maison Bouey
3253,Italy,Ceppeto Riserva,86,31,Tuscany,Chianti Classico,Kerin O’Keefe,@kerinokeefe,Red Blend,Mannucci Droandi
3254,US,Winemaker Selection,86,55,California,Sonoma County,Virginie Boone,@vboone,Zinfandel,Rosenblum
3255,Italy,,86,13,Tuscany,Chianti Rufina,Kerin O’Keefe,@kerinokeefe,Sangiovese,Travignoli
3256,US,,86,30,California,Napa Valley,Virginie Boone,@vboone,Merlot,Hanaiali'i
3257,US,Breezy Slope Vineyard,86,35,Washington,Walla Walla Valley (WA),Sean P. Sullivan,@wawinereport,Pinot Noir,Lagana
3258,US,Minnick Hills Vineyard,86,30,Washington,Walla Walla Valley (WA),Sean P. Sullivan,@wawinereport,Syrah,Lagana
3259,US,,86,30,California,Monterey,Matt Kettmann,@mattkettmann,Merlot,Loft
3260,Spain,El Picaro,86,15,Northern Spain,Toro,Michael Schachner,@wineschach,Tinta de Toro,Matsu
3261,Austria,,86,12,Carnuntum,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Nadler
3262,US,Ciel du Cheval,86,40,Washington,Red Mountain,Sean P. Sullivan,@wawinereport,Bordeaux-style Red Blend,:Nota Bene
3263,New Zealand,,86,15,Marlborough,,Joe Czerwinski,@JoeCz,Sauvignon Blanc,Oyster Bay
3264,France,Tradition Brut,86,,Champagne,Champagne,Roger Voss,@vossroger,Champagne Blend,Piot-Sévillano
3265,France,,86,11,Bordeaux,Bordeaux Rosé,Roger Voss,@vossroger,Rosé,Quai de la Lune
3266,Spain,Viñadrian,86,15,Northern Spain,Rioja,Michael Schachner,@wineschach,Tempranillo Blend,Bodegas Berceo
3267,Italy,O'Leandro Riserva,86,45,Tuscany,Chianti Classico,Kerin O’Keefe,@kerinokeefe,Red Blend,Cennatoio
3268,France,,86,14,Bordeaux,Bordeaux Blanc,Roger Voss,@vossroger,Bordeaux-style White Blend,Château Buisson-Redon
3269,US,Estate Grown,86,25,California,Napa Valley,Virginie Boone,@vboone,Moscato,St. Supéry
3270,France,Cuvée des Vignes Centenaires,87,50,Southwest France,Cahors,Roger Voss,@vossroger,Malbec,Clos de Gamot
3271,Portugal,Prova Régia,87,10,Bucelas,,Roger Voss,@vossroger,Arinto,Companhia das Quintas
3272,Italy,Cubìa,87,18,Sicily & Sardinia,Sicilia,,,Insolia,Cusumano
3273,Portugal,Casa do Lago Rosé,87,10,Estremadura,,Roger Voss,@vossroger,Touriga Nacional,DFJ Vinhos
3274,Italy,Lamùri,87,28,Sicily & Sardinia,Sicilia,,,Nero d'Avola,Tasca d'Almerita
3275,Italy,,87,19,Sicily & Sardinia,Etna,,,White Blend,Tenuta delle Terre Nere
3276,US,Edna Ranch,87,18,California,Edna Valley,,,Rosé,Tolosa
3277,Australia,The Turk Shiraz-Grenache-Cabernet-Mourvèdre,87,18,South Australia,Barossa Valley,Joe Czerwinski,@JoeCz,Red Blend,Turkey Flat
3278,Portugal,Marquês de Borba,87,14,Alentejo,,Roger Voss,@vossroger,Portuguese Red,J. Portugal Ramos
3279,US,,87,38,California,Russian River Valley,,,Pinot Noir,J Vineyards & Winery
3280,US,Bien Nacido Vineyard Hillside,87,42,California,Santa Barbara County,,,Pinot Noir,J. Wilkes
3281,Argentina,Cocina Blend,87,15,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Red Blend,La Posta
3282,Italy,Maiana Rosso,87,10,Southern Italy,Salice Salentino,,,Red Blend,Leone de Castris
3283,Italy,,87,24,Southern Italy,Greco di Tufo,,,Greco,Mastroberardino
3284,Argentina,Reserve,87,46,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Melipal
3285,US,,87,32,Washington,Walla Walla Valley (WA),Paul Gregutt,@paulgwine ,Syrah,Morrison Lane
3286,US,,87,23,Washington,Walla Walla Valley (WA),Paul Gregutt,@paulgwine ,Viognier,Morrison Lane
3287,Italy,Torre dei Venti,87,21,Sicily & Sardinia,Sicilia,,,Nero d'Avola,Fazio
3288,Australia,Uncut,87,24,South Australia,McLaren Vale,Joe Czerwinski,@JoeCz,Shiraz,Gemtree
3289,US,Spofford Station Vineyard,87,35,Washington,Walla Walla Valley (WA),Paul Gregutt,@paulgwine ,Syrah,Adamant Cellars
3290,Italy,Le Fossette,87,18,Southern Italy,Puglia,,,Falanghina,Alberto Longo
3291,US,ES Vineyard,87,17,California,Lake County,,,Sauvignon Blanc,X
3292,US,Floral Clone,87,28,California,Russian River Valley,,,Chardonnay,Godwin
3293,US,Ripken Vineyard,87,18,California,Lodi,,,Roussanne,Hagafen
3294,Portugal,Monte da Peceguina,87,30,Alentejano,,Roger Voss,@vossroger,Portuguese Red,Herdade da Malhadinha Nova
3295,US,Old Hill Ranch,87,34,California,Sonoma Valley,,,Zinfandel,Bucklin
3296,US,Proprietary Red Wine,87,55,California,Oak Knoll District,,,Cabernet Blend,Corley
3297,Portugal,Tinta Roriz and Merlot,87,11,Estremadura,,Roger Voss,@vossroger,Red Blend,DFJ Vinhos
3298,Portugal,Monte Alentejano,87,,Alentejano,,Roger Voss,@vossroger,Portuguese White,DFJ Vinhos
3299,Spain,Clio Monastrell-Cabernet Sauvignon,87,42,Levante,Jumilla,Michael Schachner,@wineschach,Red Blend,El Nido
3300,South Africa,,87,13,Coastal Region,,Susan Kostrzewa,@suskostrzewa,Pinotage,Backsberg
3301,US,Le Cigar Blanc,87,20,California,California,,,White Blend,Bonny Doon
3302,Spain,Brut Rosé,87,15,Catalonia,Cava,Michael Schachner,@wineschach,Pinot Noir,Codorníu
3303,Italy,Extra Dry,87,19,Veneto,Prosecco di Conegliano e Valdobbiadene,,,Prosecco,Conte Collalto
3304,US,,87,22,California,Sonoma Coast,,,Pinot Noir,Schug
3305,US,Star Vineyard,87,80,California,Rutherford,,,Cabernet Sauvignon,St. Clement
3306,US,,87,27,California,Alexander Valley,,,Cabernet Sauvignon,Arbios
3307,Italy,Vigneto Giardino Dry,87,22,Veneto,Prosecco di Valdobbiadene,,,Prosecco,Adami
3308,Portugal,Antão Vaz-Arinto,87,,Alentejo,,Roger Voss,@vossroger,Portuguese White,Alentex
3309,Italy,Brut Millesimato Motus Vitae,87,37,Veneto,Prosecco di Valdobbiadene,,,Prosecco,Bortolomiol
3310,Italy,Brut,87,16,Veneto,Prosecco di Valdobbiadene,,,Prosecco,Bortolotti
3311,US,Sangiacomo Vineyards,87,32,California,Carneros,,,Pinot Noir,Castle
3312,Spain,Reserva Raventós Brut,87,15,Catalonia,Cava,Michael Schachner,@wineschach,Sparkling Blend,Codorníu
3313,US,Turner Vineyard,87,40,California,Sta. Rita Hills,,,Pinot Noir,Ortman Family
3314,Israel,Yasmin Kosher Red,87,11,Galilee,,Lauren Buzzeo,@laurbuzz,Bordeaux-style Red Blend,Recanati
3315,Italy,,87,,Tuscany,Chianti Classico,,,Sangiovese,Tenuta di Vignole
3316,US,Lola Red,87,25,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Red Blend,Two Vintners
3317,US,Truchard Vineyard,87,27,California,Carneros,,,Pinot Noir,X
3318,Spain,Petit Albet,87,13,Catalonia,Penedès,Michael Schachner,@wineschach,White Blend,Albet I Noya
3319,Italy,,87,19,Tuscany,Rosso di Montepulciano,,,Prugnolo Gentile,Avignonesi
3320,Israel,Reserve Unoaked Kosher,87,20,Judean Hills,,Lauren Buzzeo,@laurbuzz,Chardonnay,Binyamina
3321,Spain,,87,45,Northern Spain,Rioja,Michael Schachner,@wineschach,Graciano,Valserrano
3322,New Zealand,,87,20,Canterbury,,Joe Czerwinski,@JoeCz,Sauvignon Blanc,Mt. Beautiful
3323,Italy,,87,,Tuscany,Morellino di Scansano,,,Sangiovese,Poggio Nardone
3324,France,,87,20,Bordeaux,Médoc,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Ramafort
3325,New Zealand,,87,17,Marlborough,,Joe Czerwinski,@JoeCz,Pinot Noir,Mana
3326,US,Morning Dew Vineyard,87,47,California,Anderson Valley,,,Pinot Noir,Drew
3327,Italy,Le Vespe,87,,Tuscany,Toscana,,,Sangiovese,Giuliano Tiberi
3328,US,White Label,87,18,California,Dry Creek Valley,,,Red Blend,Greater Purpose
3329,Spain,Isabelino,87,9,Northern Spain,Rueda,Michael Schachner,@wineschach,Verdejo-Viura,Reina de Castilla
3330,Italy,,87,16,Tuscany,Chianti Classico,,,Sangiovese,Rocca delle Macìe
3331,France,,84,29,Burgundy,Pouilly-Fuissé,Roger Voss,@vossroger,Chardonnay,Joseph Drouhin
3332,US,Olé,84,24,California,Central Coast,Matt Kettmann,@mattkettmann,Chardonnay,Vino Vargas
3333,France,Château de Messey Les Crets,84,23,Burgundy,Mâcon-Chardonnay,Roger Voss,@vossroger,Chardonnay,Demessey
3334,US,0 Degree Dry,84,16,New York,Seneca Lake,Anna Lee C. Iijima,,Riesling,Four Degrees of Riesling
3335,France,,84,28,Burgundy,Chorey-lès-Beaune,Roger Voss,@vossroger,Pinot Noir,Joseph Drouhin
3336,US,Dry,84,13,New York,Finger Lakes,Anna Lee C. Iijima,,Rosé,Knapp
3337,Italy,Curma,84,35,Sicily & Sardinia,Sicilia,Kerin O’Keefe,@kerinokeefe,Nero d'Avola,Armosa
3338,US,William Vigne,84,14,New York,Seneca Lake,Anna Lee C. Iijima,,Grüner Veltliner,Fulkerson
3339,US,,84,10,California,California,Jim Gordon,@gordone_cellars,Chardonnay,Stomping Ground
3340,France,Linteau,84,13,Rhône Valley,Côtes du Rhône,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,L. Tramier & Fils
3341,Spain,Covello,84,15,Galicia,Rías Baixas,Michael Schachner,@wineschach,Albariño,Lo Nuevo
3342,France,,84,29,Burgundy,Ladoix,Roger Voss,@vossroger,Pinot Noir,Pierre André
3343,Turkey,,84,15,Thrace,,Mike DeSimone,@worldwineguys,Kinali Yapincak,Suvla
3344,US,Reserve,84,17,New York,Finger Lakes,Anna Lee C. Iijima,,Chardonnay,Swedish Hill
3345,France,,84,,Burgundy,Viré-Clessé,Roger Voss,@vossroger,Chardonnay,Chanson Père et Fils
3346,Spain,,84,9,Northern Spain,Campo de Borja,Michael Schachner,@wineschach,Chardonnay,Coto de Hayas
3347,France,Les Hâtes,84,40,Burgundy,Santenay,Roger Voss,@vossroger,Pinot Noir,Demessey
3348,France,Vieilles Vignes,84,30,Burgundy,Viré-Clessé,Roger Voss,@vossroger,Chardonnay,Jean-Marie Challand
3349,France,,84,,Burgundy,Mâcon-Fuissé,Roger Voss,@vossroger,Chardonnay,Domaine Sophie Cinier
3350,US,Khayyam,84,50,California,Temecula Valley,Matt Kettmann,@mattkettmann,Cabernet Sauvignon,Fazeli Cellars
3351,US,2nd Degree Medium Sweet,84,14,New York,Finger Lakes,Anna Lee C. Iijima,,Riesling,Four Degrees of Riesling
3352,France,,84,20,Burgundy,Saint-Véran,Roger Voss,@vossroger,Chardonnay,Pierre André
3353,France,Les Tilles,84,20,Burgundy,Mâcon-Villages,Roger Voss,@vossroger,Chardonnay,Jean-Marie Challand
