Publisher,Journal title,Article title,Cost
Wiley-Blackwell,European Journal of Immunology,Ubiquitination of HLA-DO by MARCH family E3 ligases,"£2 377,33"
Elsevier,European Journal of Medical Genetics,Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities,"£2 281,08"
Elsevier,European Journal of Medical Genetics,The internet is parents main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome,"£2 468,50"
Wiley,European Journal of Neuroscience,Parallelism in the brain's visual form system,"£1 500,00"
Sage,European Journal of Preventive Cardiology,Smoking cessation interventions following acute coronary syndrome: a missed opportunity?,"£1 920,00"
Oxford University Press,European Journal of Public Health,Family and home influences on children's after-school and weekend physical activity,"£1 800,00"
Elsevier,European Neuropsychopharmacology,Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment,"£2 325,59"
Springer,European Radiology,The effect of a tuberculosis chest X-ray image reference set on non-expert reader performance,"£2 263,18"
European Respiratory Society,European Respiratory Journal,The impact of COPD on health status: findings from teh BOLD study,"£2 340,00"
Wiley Blackwell,Evaluation in Clinical Practice,Unreasonable reasons: normative judgements in the assessment of mental capacity,"£2 300,38"
Berhahn Books,"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa.",Parasite lost - remembering modern times with Kenyan government medical scientists.,"£651,25"
Berhahn Books,"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa.","Studying trial Communities: anthropological and historical enquiries and ethos, politics and economy of medical research in Africa.","£651,25"
BioMed Central,EvoDevo,Early embryonic determination of the sexual dimorphism in segment number in geophilomorph centipedes,"£1 564,50"
Wiley,Evolution,Spite versus cheats: competition among social strategies shapes virulence in Pseudomonas aeruginosa,"£2 184,22"
Wiley,Evolution,Is HIV short-sighted? Insights from a multi-strain nested model,"£2 374,52"
Wiley ,Evolutionary Applications,Costs of crowding for the transmission of malaria parasites,"£1 524,00"
Springer,Experimental Brain Research,Cue integration and the perception of action in intentional binding,"£1 889,10"
Springer,Experimental Brain Research,The psychology of volition,"£2 076,55"
Elsevier,Experimental Cell Research,Perturbation of invadolysin disrupts cell migration in zebrafish (Danio rerio),"£2 488,17"
Elsevier,Experimental Eye Research,"Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration","£2 395,43"
Elsevier,Experimental Hematology,Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data,"£2 328,24"
Elsevier,Experimental Neurology,The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche,"£1 771,93"
Elsevier,Experimental Neurology,ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration,"£2 380,28"
Elsevier,Experimental Parasitology,"Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle","£2 329,56"
Elsevier,Experimental Parasitology,Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei,"£2 441,16"
Wiley,Experimental Physiology,Remote Ischaemic pre- and delayed post conditioning,"£1 894,94"
Informa Healthcare communications,Expert Reviews in Anti-infective Chemotherapy,"Advocacy, policies and practicalities of preventive chemotherapy campaigns for African children with schistosomiasis","£1 700,00"
Cambridge University Press,Expert Reviews in Molecular Medicine,"Pharmacological targets in the ubiquitin system offer new ways of treating cancer, neurodegenerative disorders and infectious diseases.","£1 800,00"
FASEB,FASEB Journal,Chemically engineering ligand selectivity at the free fatty acid receptor 2 based on pharmacological variation between species orthologs,"£1 513,14"
FASEB,FASEB Journal,Dysfunction of the autophagy/lysosomal degradation pathway is a shared feature of the genetic synucleinopathies,"£1 663,37"
FASEB,FASEB Journal,The CB1 receptor mediates the peripheral effects of ghrelin on AMPK activity but not on growth hormone release,"£1 920,98"
FASEB,FASEB Journal,Endothelial cell junctional adhesion molecule plays a key role in the development of tumours in a murine model…,"£1 953,12"
Federation of American Societies for Experimental Biology,FASEB Journal,The immunoglobulin domain of the sodium channel β3 subunit contains a surface-localized disulfide bond that is required for homophilic binding,"£1 866,72"
Federation of American Societies for Experimental Biology,FASEB Journal,The cellular prion protein traps Alzheimer's Alpha? In an oligomeric form and disassembles amyloid fibers,"£2 014,37"
Federation of the American Society of Experimental Biology,FASEB Journal,Epididymal protein Rnase10 is required for post-testicular sperm maturation and male fertility,"£1 857,82"
Wiley,FEBS J.,Crystal structures of murine angiogenin-2 and -3-probing 'structure--function' relationships amongst angiogenin homologues.,"£2 246,21"
Wiley,FEBS J.,Structural basis of peptide recognition by the angiotensin-1 converting enzyme homologue AnCE from Drosophila melanogaster.,"£2 247,05"
Wiley,FEBS Journal,Adenosin-5'-phosphosulfate (APS) - a multifaceted modulator of bifunctional PAPS synthases and related enzymes,"£1 500,00"
Wiley,FEBS Journal,Recent progress in satellite cell/myoblast engraftment: relevance for therapy,"£1 500,00"
Wiley Blackwell,FEBS Journal,Substrate specificity and the effect of calcium on Trypanosoma brucei metacaspase 2,"£2 430,00"
Wiley-Blackwell,FEBS Journal,The architecture of Trypanosoma brucei tubulin-binding cofactor B and implications for function,"£2 334,91"
Elsevier,FEBS Letters,Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane,"£2 228,00"
Elsevier,FEBS Letters,Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.,"£2 244,57"
Elsevier,Febs Letters,Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase,"£2 362,82"
Elsevier,FEBS Letters,IFNβ autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages,"£2 465,93"
Elsevier ,FEBS Letters,"Concerted action of the PHD, chromo and motor domains regulates the human chromatin remodelling ATPase CHD4.","£2 143,17"
Elsevier,FEBS Open Bio,'CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration,"£1 254,25"
Elsevier B.V.,FEBS Open Bio,Crystal structure of human angiogenin with an engineered loop exhibits conformational flexibility at the functional regions of the molecule.,"£1 171,02"
Wiley,FEMS Microbiology Letters,bkaR is a TetR-type repressor that controls an operon associated with branched-chain keto-acid metabolism in Mycobacteria.,"£2 008,84"
Wiley,FEMS Microbiology Letters,Identification of type II toxin-antitoxin modules in Burkholderia pseudomallei,"£2 337,66"
Wiley-Blackwell,FEMS Microbiology Letters,Stress signalling to fungal stress-activated protein kinase pathways,"£1 985,10"
Wiley-Blackwell,FEMS Microbiology Letters,Selective binding of virulence type III export chaperones by FliJ escort orthologues InvI and YscO,"£2 275,02"
Elsevier,Fertility and Sterility,Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.,"£2 169,98"
Elsevier,Fertility and Sterility,Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.,"£2 373,76"
Elsevier,Fertility and Sterility,Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.,"£2 373,76"
Elsevier,Free Radical and Biology Medicine,S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis,"£1 755,59"
Nature,Frontiers,Visual surround suppression in schizophrenia,"£808,85"
Frontiers,Frontiers in Auditory Cognitive Neuroscience,The brain basis of musicophilia: evidence from frontotemporal lobar degeneration,"£815,98"
Frontiers,Frontiers in Behavioral Neuroscience,Flow parsing and heading perception show similar dependence on quality and quantity of optic flow,"£813,90"
Frontiers,Frontiers in Behavioral Neuroscience,Heading recovery from optic flow: comparing performance of humans and computational models,"£813,90"
Frontiers,Frontiers in Brain Imaging Methods,"Quantitative multiparameter mapping of R1, PD*, MT and R2* at 3T: a multicenter validation","£1 087,97"
Frontiers Media SA,Frontiers in Brain Imaging Methods,Measuring abnormal brains: building normative rules in Neuroimaging using one-class support vector machines,"£476,57"
Frontiers,Frontiers in Cellular Neuroscience,Wnts in action: from synapse formation to synaptic maintenance,"£725,76"
Frontiers,Frontiers in Cellular Neuroscience,LRRK2: an Eminence grise of Wnt-mediated neurogenesis,"£821,98"
Frontiers,Frontiers in Cognition,Persistence of internal representations of alternative voluntary actions,"£808,22"
Frontiers,Frontiers in Cognitive Science,"Exploration, Novelty, Surprise and Free Energy Minimisation","£434,70"
Frontiers Media SA,Frontiers in Consciousness Research,Adaptation to implied tilt: extensive spatial extrapolation of orientation gradients.,"£711,11"
Frontiers,Frontiers in Decision Neuroscience,The chronometry of risk processing in the human cortex,"£1 392,61"
Frontiers,Frontiers in Developmental Psychology,Severity of specific language impairment predicts delayed development in number skills,"£840,19"
Frontiers,Frontiers in Electrophysiology,Bridging the gap between computation and clinical biology: validation of cable theory in humans,"£827,13"
Frontiers,Frontiers in Endocrinology,The melanocortin receptors and their accessory protreins,"£975,81"
Frontiers,Frontiers in Genetics,"The mysterious case of the C. elegans gut granule: death fluorescence, anthranilic acid and the kynurenine pathway","£346,25"
Frontiers,Frontiers in Human Neuroscience,The anatomy of choice: active inference and agency,"£582,12"
Frontiers,Frontiers in Human Neuroscience,Self-associations influence task-performance through Bayesian inference,"£825,37"
Frontiers,Frontiers in Human Neuroscience,Characterising Ageing in the Human Brainstem Using Quantitative Multimodal MRI Analysis,"£827,13"
Frontiers,Frontiers in Human Neuroscience,Graph network analysis of immediate motor learning,"£1 000,87"
Frontiers Research Foundation,Frontiers in Human Neuroscience,Dysregulated but not decreased salience network activity in schizophrenia,"£837,74"
Frontiers,Frontiers in Immunological Memory,CD161+CD4+ T cells are enriched in teh liver during chronic hepatitis and associated with co-secretion of ill-22 and interferon-gamma,"£775,82"
Frontiers Media SA,Frontiers in Immunology,Increased peptide contacts govern high affinity binding of a Modified TCR whilst maintaining a native pMHC docking mode,"£1 014,44"
Frontiers,Frontiers in Inflammation,NLRP3-inflammasome activating DAMPs stimulate an inflammatory response in glia in the absence of priming which contributes to brain inflammation after injury,"£687,79"
Frontiers Media,Frontiers in Integrative Neuroscience,What is social about social perception?,"£937,34"
Frontiers,Frontiers in Invertebrate Physiology,Exposure to acetylcholinesterase inhibitors alters the physiology and motor function on honeybees,"£967,18"
Frontiers,Frontiers in Molecular Neuroscience,"Improved genetically-encoded, FlincG-type fluorescent biosensors for neural cGMP imaging","£1 209,60"
Frontiers Media SA,Frontiers in Neural Circuits,"Ionotropic receptors at hippocampal mossy fibres: roles in axonal excitability, synaptic transmission and plasticity","£819,45"
Frontiers Media SA,Frontiers in Neurorobotics,What is value – accumulated reward or evidence?,"£625,20"
Frontiers Media,Frontiers in Perception Science,Attribution of intentional causation influences the perception of observed movements: behavioural evidence and neural correlates,"£987,91"
Frontiers,Frontiers in Schizophrenia,The computational anatomy of psychosis,"£821,98"
Frontiers,Frontiers in Systems Neuroscience,A unified framework for the organisation of the primate auditory cortex,"£1 644,25"
Frontiers Media SA,Frontiers in T Cell Biology,Re-directing CD4+ T cell responses with the flanking residues of MHC class II-bound peptides:  the core is not enough,"£1 017,58"
BMJ,Frontline Gastroenterology,Sexually Transmitted Infections manifestering as proctitis,"£720,00"
BMJ,Frontline Gastroenterology,Measurement of faecal calprotectin and lactoferin in inflammatory bowel disease,"£720,00"
BMJ,Frontline Gastroenterology,Developing an endoscopic mucosal resection (EMR) service in a district general hospital,"£720,00"
Elsevier,Fungal Biology,Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates,"£2 272,01"
Elsevier,Fungal Ecology,Species-specific PCR to describe local-scale distributions of four cryptic species in the Penicillium chrysogenum complex,"£2 378,19"
Future Science,Future Medicinal Chemistry,Small molecule inhibitors of myosin proteins,"£2 040,00"
Future Science,Future Medicinal Chemistry,Targeting the Mitochondrial Electron Transport Chain of Plasmodium falciparum: New Strategies Towards the Development of Improved Antimalarials for the Elimination Era,"£2 270,00"
Future Medicine Ltd,Future Microbiology,Evolutionary and genomic insights into meningococal biology,"£1 700,00"
Future Medicine,Future Neurology,Advances  in the treatment of visual hallucinations on neurodegenerative diseases,"£2 040,00"
Future Medicine,Future Virology,Disclosure issues with HIV+ parents and HIV- children,"£1 850,00"
Future Medicine,Future Virology,Viral Hepatitis in resource-limited countries and access to antiviral therapies: current and future challenges,"£2 040,00"
Dartmouth Journal Services,"G3: Genes, Genomes, Genetics",How to design a genetic mating scheme: a basic training package for Drosophila genetics,"£1 230,67"
AGA Institute,Gastroenterology,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,"£238,08"
Elsevier,Gastroenterology,Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-β and Induce Foxp3+ Regulatory T Cells via Integrin αvβ8,"£2 228,00"
Elsevier,Gene,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats,"£2 406,10"
Elsevier,GENE,"Dissecting the mechanisms responsible for the multiple insecticide resistance phenotype in Anopheles gambiae s.s., M form, from Vallée de Kou, Burkina Faso","£2 445,23"
Elsevier,Gene,Identification of a SLC19A2 nonsense mutation in Persian families with thiamineresponsive megaloblastic anemia,"£2 468,74"
Elsevier,Gene Therapy,"Gene therapy for PIDs: Progress, pitfalls and prospects","£2 446,97"
Nature,Gene Therapy,Inhibition of Neointimal Hyperplasia in a Rabbit Vein Graft Model Following Non-Viral Transfection with Human iNOS cDNA,"£3 000,00"
Cold Spring Habour Press,Genes & Development,"Autoregulation of TDP-43 mRNA levels involves interplay between transcription, splicing and alternative polyA site selection","£1 501,44"
Cold Spring Harbor Laboratory Press,Genes & Development,Brr2p-mediated conformational rearrangements in the spliceosome during activation and substrate repositioning,"£1 267,34"
Wiley,Genes Brain Behaviour,A genome-wide association study for reading and language abilities in two population cohorts,"£2 355,52"
Wiley Subscription Services,Genes Brain Behaviour,Steroid sulfatase is a potential modifier of cognition in Attention Deficit Hyperactivity Disorder,"£2 408,35"
Wiley,genesis: Journal of Genetics,The Caenorhabditis elegans homeobox gene ceh-19 is required for MC motoneuron function,"£2 376,40"
John Wiley,Genetic Epidemiology,A simple and fast two-locus quality control test to detect false positives due to batch effects in genome-wide association studies.,"£2 372,99"
John Wiley & Sons,Genetic Epidemiology,Transethnic meta-analysis of genome-wide association studies,"£2 345,75"
Wiley-Blackwell,Genetic Epidemiology,Genome-wide association analyis of imputed rare variants: application to seven common complex diseases.,"£2 286,74"
Wiley-Blackwell,Genetic Epidemology,Identification of grouped rare and common variants via penalized logisitc regression,"£1 911,30"
Dartmouth Journal Services,GENETICS,Distinct regulation of Mlh1p heterodimers in meiosis and mitosis in Saccharomyces cerevisae,"£790,93"
Dartmouth Journal Services,Genetics ,Estimating selection coefficients in spatially structured populations from time series data of allele frequencies.,"£1 197,72"
Nature,Genetics in Medicine,Population-based estimates of the prevalence of FMR1 expansion mutations in women with early menopause and primary ovarian insufficiency,"£3 360,00"
Nature Publishing Group,Genetics in Medicine,Behavioral genetics and population health interventions for alcohol problems: at odds or oddly in agreement?,"£3 000,00"
BioMed Central,Genome Biology,"The genome and transcriptome of the enteric parasite Entamoeba invadens, a model for encystation","£1 788,90"
BioMed Central,Genome Biology,The fine-scale architecture of structural variants in 17 mouse genomes.,"£1 950,00"
BioMed Central,Genome Biology,The multidrug-resistant PMEN1 pneeumococcus is a paradigm for genetic success,"£2 010,00"
BioMed Central,Genome Medicine,Identification and Functional Validation of HPV-mediated Hypermethylation in Head and Neck Squamous Cell Carcinoma,"£2 010,00"
BMC,Genome Medicine,Targeted next-generation sequencing of head and neck squamous cell carcinoma identifies novel genetic alterations in HPV+ and HPV- tumors,"£1 728,90"
Cold Spring Harbor Laboratory Press,Genome Research,Copy number variation leads to considerable diversity for B but not A haplotypes of the human KIR genes encoding NK cell receptors,"£1 491,24"
Cold Spring Harbor Laboratory Press,Genome Research,"Differentially expressed, variant U1 snRNAs regulate gene expression in human cells","£1 548,77"
Wiley,Glia,Microglia and macrophages differentially modulate cell death after brain injury caused by oxygen-glucose deprivation in organotypic brain slices,"£1 977,72"
Wiley,Glia,Injury and differentiation following inhibition of mitochondrial respiratory chain complex IV in rat oligodendrocytes,"£2 184,22"
Oxford Journals,Glycobiology,A novel role for Gtb1p in glucose trimming of N-linked glycans,"£440,66"
Oxford University Press,Glycobiology,Organization of the extracellular portion of the macrophage galactose receptor: a trimeric cluster of simple binding sites for N-acetylgalactosamine,"£1 700,00"
BMJ ,Gut,A basal gradient of Wnt and stem-cell number influences regional tumour distribution in human and mouse intestinal tracts.,"£2 040,00"
BMJ Group,Gut,The paradox of NKp46+ NK cells:  drivers of severe HCV-induced pathology but in vivo resistance to IFNa treatment,"£2 340,00"
BMJ Group,Gut,Obese patients after gastric bypass surgery have lower brain hedonic responses to food than after gastric banding,"£2 340,00"
Ferrata Storti Foundation,Haematologica,Mutations in the telomere capping complex in bone marrow failure and related syndromes,"£1 567,94"
Ferrata Storti Foundation,Haematologica/The Haematology Journal,"Production of the effector cytokine interleukin-17, rather than interferon-y, is more strongly asociated with autoimmune hemolytic anaemia","£378,70"
Wiley,HBM JNL Human Brain Mapping,Phase informed model for motion and susceptibility (PIMMS),"£1 914,12"
Scientific Research Publishing,Health  ,"Suicide ideation, depression and HIV among pregnant women in rural South Africa","£551,27"
Elsevier,Health & Place,Determinants and spatial patterns,"£1 836,92"
Elsevier,Health and Place,Is the environmental setting associated with the intensity and duration of children’s physical activity? Findings from the SPEEDY GPS study,"£1 749,74"
OUP,Health Policy Planning ,"Willingness to pay for a rapid malaria diagnostic test and artemisinin-based combination therapy from private drug shops in Mukono District, Uganda.","£1 800,00"
Oxford University Press,Health Promotion International,In what ways do communities support optimal antiretroviral treatment in Zimbabwe?,"£1 700,00"
American Psychological Association,Health Psychology,Behavior change techniques used to promote walking and cycling: a systematic review,"£3 188,30"
Sage,"Health: An Interdisciplinary Journal for the Social Study of Health, Illness and Medicine",Re-valuing donor and recipient bodies in the globalised blood economy: transitions in public policy on blood safety in the UK,"£1 920,00"
BMJ Group,Heart,South Asians and coronary disease: Is there discordance between effects on incidence and prognosis?,"£2 040,00"
Cadmus ,Heart and Circulatory Physiology,Altered sinoatrial node function and intra-atrial conduction in murine gain-of-function Scn5a+/ΔKPQ hearts suggest an overlap syndrome.,"£1 349,18"
Wiley,Hepatology,Heterogeneous claudin-1 expression in human liver,"£1 500,00"
Wiley,Hepatology,Paracrine signals from liver sinusoidal endothelium regulate hepatitis C virus replication,"£1 500,00"
Wiley,Hepatology,Proteome-wide analyses of human hepatocytes during differentiation and de-differentiation,"£1 969,41"
Wiley,Hepatology,HCV treatment for prevention among people who inject drugs: modelling teatment scale-up in the age of direct-acting antivirals,"£2 355,52"
Wiley,Hepatology,Osteopontin is a novel downstream target of SOX9 with diagnostic implications for progression of liver fibrosis in humans,"£2 373,26"
Wiley ,Hepatology,Intrahepatic cholestasis of pregnancy levels of sulfated progesterone metabolites inhibit FXR resulting in a pro-cholestatic phenotype,"£1 635,00"
Wiley-Blackwell,Hepatology,Tumor progression locus 2/Cot is required for activation of extracellular regulated kinase in liver injury and toll like receptor induced TIMP-1 gene transcription in hepatic stellate cells in mice,"£1 884,30"
Wiley-Blackwell,Hepatology,Inhibition of RelA-Ser536 phosphorylation  by a completing peptide reduces mouse liver fibrosis wothout blocking the innate immune response,"£1 986,00"
John Wiley and Sons,Heptology,"Transcriptiome sequencing, microarray and proteomic analyses reveal cellular and metabolic impact of Hepatitis C virus in vitro","£1 852,01"
Springer,Hernia,Use of antibiotic prophylaxis in elective inguinal hernia repair in adults in London and south-east England: a cross sectional survey,"£1 897,21"
Wiley,Hippocampus,Pituitary adenylate cyclase-activating polypeptide (PACAP) inhibits the slow afterhyperpolarizing current sIsubAHPsubin CA1 pyramidal neurons by activating multiple signaling pathways,"£1 500,00"
Wiley,Hippocampus,Representations of recent and remote autobiographical memories in hippocampal subfields,"£1 500,00"
Wiley,Hippocampus,"Transitivity Performance, Relational Hierarchy Knowledge and Awareness: Results of an Instructional Framing Manipulation","£1 500,00"
Wiley Subscription Services Inc,Hippocampus,Patterning of Retinoic Acid Signaling and and Cell Proliferation in the Hippocampus,"£1 409,96"
Wiley-Blackwell,Hippocampus,Hippocampal lesions can enhance discrimination learning despite normal sensitivity to interference from incidental information,"£2 300,12"
Sage,History of the Human Sciences,How autism became autism: the radical transformation of a central concept of child development in Britain,"£240,00"
Sage,History of the Human Sciences,The pursuit of happiness: the social and scientific origins of Hans Selye’s natural philosophy of life’,"£1 920,00"
Sage,History of the Human Sciences,War on fear: Solly Zuckerman and civilian nerve in World War II,"£1 920,00"
Sage,History of the Human Sciences,Making the cut: the production of 'self-harm' in post-1945 Anglo-Saxon psychiatry,"£1 920,00"
Sage,History of the Human Sciences,The invention of the psychosocial: an introduction,"£1 920,00"
Oxford University Press,History Workshop Journal,A marble embryo: meanings of a portrait from 1900,"£2 100,00"
Wiley-Blackwell,HPB,An experimental study to identify the potential role of pharmacogenomics in determining the occurrence of oxaliplatin-induced liver injury,"£2 311,56"
BioMed Central ,Hum Resour Health,Absenteeism amongst health workers - developing a typology to support empiric work in low-income countries and characterizing reported associations.,"£1 525,00"
Wiley,Human Brain Mapping,A Novel Approach to Probabilistic Biomarker-Based Classification Using Functional Near-Infrared Spectroscopy,"£1 500,00"
Oxford Univ Press,Human Mol Genetics Online,"Dopaminergic expression of the Parkinsonian gene LRRK2-G2019S leads to non-autonomous visual neurodegeneration, accelerated by increased neural demands for energy","£2 040,00"
OUP,Human Molecular Genetics,Genome Wide Meta-analysis points to CTC1 and ZNF676 as genes regulating telomere homeostasis in humans,"£2 040,00"
OUP,Human Molecular Genetics,Genome-wide association study identifies loci on 12q24 and 13q32 associated with Tetralogy of Fallot,"£2 040,00"
OUP,Human Molecular Genetics,Altered 2-thiouridylation impairs mitochondrial translation in reversible infantile repiratory chain deficiency,"£2 100,00"
OUP,Human Molecular Genetics,Armet/Manf and Creld2 are components of a specialised ER stress response provoked by inappropriate,"£2 100,00"
OUP,Human Molecular Genetics,"Age-associated epigenetic drift: implications, and a case of epigenetic thrift?","£2 100,00"
OUP,Human Molecular Genetics,"Folliculin interacts with p0071 (plakophilin-4) and deficiency is associated with disordered RhoA signalling, epithelial polarization and cytokinesis","£2 100,00"
Oxford Journals,Human Molecular Genetics,Allelic heterogeneity and more detailed analyses of known loci explain additional phenotypic variation and reveal complex patterns of association,"£2 040,00"
Oxford Journals,Human Molecular Genetics,A genome-wide association study of early menopause and the combined impact of identified,"£2 040,00"
Oxford Journals,Human Molecular Genetics,Genome-Wide Association Study of Primary Tooth Eruption Identifies Pleiotropic Loci Associated With Height and Craniofacial Distances,"£2 100,00"
Oxford Journals (OUP),Human Molecular Genetics,"Vitmain D Receptor Binding, Chromatin States and Association with Multiple Sclerosis","£1 700,00"
Oxford University Press,Human Molecular Genetics,Protein profiles in Tc1 mice implicate novel pathway perturbations in the Down syndrome brain,"£1 978,75"
Oxford University Press,Human Molecular Genetics,Next generatin sequencing identifies mutations in Atonal homolog 7 (ATOH7) in families with global eye developmental defects.,"£2 040,00"
Oxford University Press,Human Molecular Genetics,Impaired neural development in a zebrafish model for Lowe syndrome,"£2 040,00"
Oxford University Press,Human molecular genetics,G2019S leucine-rich repeat kinase 2 causes uncoupling protein-mediated mitochondrial depolarization,"£2 040,00"
Oxford University Press,Human Molecular Genetics,Mitofusin 1 and mitofusin 2 are ubiquitinated in a PINK1/parkin-dependent manner upon induction of mitophagy,"£2 040,00"
Oxford University Press,Human Molecular Genetics,IGF-1 receptor antagonism inhibits autophagy,"£2 100,00"
Oxford University Press,Human Molecular Genetics,Myc inhibition impairs autophagosome formation,"£2 100,00"
Oxford University Press (OUP),Human Molecular Genetics,Trans-splicing correction of tau isoform imbalance in a mouse model of tau mis-splicing ,"£2 040,00"
Oxford University Press (OUP),Human Molecular Genetics,ALS mutant FUS disrupts nuclear localisation and sequesters wild-type FUS within cytoplasmic stress granules,"£2 040,00"
Oxford University Press,Human Molecular Genetics Online,DNA polymerase {varepsilon} and o exonuclease domain mutations in endometrial cancer.,"£1 700,00"
Wiley,Human Mutation,Pseudoachondroplasia and multiple epiphyseal dysplasia: A 7-year comprehensive analysis of the known disease genes identify novel and recurrent mutations and provides an accurate assessment of their relative contribution,"£2 310,95"
Wiley-Blackwell,Human Mutation,Pathogenic mitochondrial tRNA point mutations: nine novel mutations affirm their importance as a couse of mitochondrial disease,"£1 986,90"
Wiley,"Human Mutation: Variation, Informatics, and Disease","Associations among genotype, clinical phenotype, and intracellular localization of trafficking proteins in ARC syndrome","£1 500,00"
Oxford University Press,Human Reproduction,The incidence and clinical significance of defects in calcium signalling pathways mediating human sperm hyperactivation in donors and sub fertile patients.,"£2 040,00"
BioMed Central Limited,Human Resources for Health,Human resources needs for universal access to antiretroviral therapy in South Africa: A time-motion study,"£1 125,00"
International Union Against Tuberculosis and Lung Disease,IJTLD,Socio-economic patterning of tobacco use in Indian states.,"£2 587,10"
Elsevier,Immnunobiology,Regulation of TGFbeta in the immune system: an emerging role for integrins and dendritic cells,"£2 317,94"
Elsevier,Immunity,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response,"£3 799,84"
Elsevier,Immunity,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation,"£4 069,66"
Springer,Immunogenetics,The peptide motif of the single dominantly-expressed class I molecule of the chicken MHC can explain the response to a molecular defined vaccine of infectious bursal disease virus (IBDV),"£2 211,52"
Springer,Immunogenetics,Killer cell immunoglobin-like receptor (KIR) genes and their HLA-C ligands in a Ugandan population,"£2 240,86"
Wiley,Immunological Reviews,Actin cytoskeletal defects in immunodeficiency,"£1 500,00"
Wiley/Blackwell,Immunology,Increased HLA-E expression in white matter lesions in multiple sclerosis,"£1 513,73"
Wiley-Blackwell,Immunology,Human dendritic cell subsets,"£2 305,08"
Elsevier,Immunology Letters,Sources of heterogeneity in human monocyte subsets,"£2 961,92"
BioMed Central ,Implement Sci.,"Designing a theory-informed, contextually appropriate intervention strategy to improve delivery of pediatric services in Kenyan hospitals.","£1 345,00"
American Society for Microbiology,Infection and Immunity,Dectin-1 is not required for controlling Candida albicans colonisation of the murine gastrointestinal tract,"£1 910,82"
American Society for Microbiology,Infection and Immunity,Analysis of antibodies to newly described plasmodium falciparum merozoite antigens supports ...,"£2 034,00"
American Society for Microbiology,Infection and Immunity,Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis,"£2 249,43"
ASM,Infection and Immunity,Zebrafish as a novel vertebrate model to dissect enterococcal pathogenesis,"£1 529,54"
Cadmus Journal Services,Infection and Immunity,"Growth of Candida albicans celles on the physiologically relevent carbon source, lactate, affects their recognition and phagocytosis by immune cells","£1 237,76"
Elsevier,Infection Genetics and Evolution,The emergence and maintenance of sickle cell hotspots in the mediterranean,"£1 770,62"
Springer,Inflammation Research,Myocardial infarction causes inflammation and leukocyte recruitment at remote sites in the myocardium and in the renal glomerulus,"£2 759,24"
Wiley,Inflammatory Bowel Diseases,Defective TNF release from Crohn’s disease macrophages in response to Toll-like receptor activation: relationship to phenotype and genome-wide association susceptibility loci,"£1 927,56"
Wiley Subscription Services  Inc.,Influenza Other Respi Viruses.,Identification of RSV Group B Viruses that lack the 60-Nucleotide duplication after 6 Consecutive Epidemics of total BA dominance in Coastal Kenya ,"£1 834,77"
OUP,Int J Epidemiol,"Status of epidemiology in the WHO South-East Asia region: burden of disease, determinants of health and epidemiological research, workforce and training capacity.","£1 700,00"
Elsevier,Int Journal for Parasitology,Flow cytometry-assisted rapid isolation of recombinant Plasmodium berghei parasites exemplified by functional analysis of aquaglyceroporin.,"£2 294,00"
Royal Society,Interface,A rule-based kinetic model of RNA polymerase II C-terminal domain phosphorylation,"£1 260,00"
